nk	sk
필립 웨이컴이 너를 배반한 일이 있었어. 그가 여기 있지 않던 어느날 그는 말하였다.	필립 웨이컴이 너를 배신했어; 그가 네가 여기 없던 어느 날 그렇게 말했다.
그는 노크하지 않고 주머니에서 열쇠를 꺼내가지고 곧 방안으로 들어갔다.	그는 노크하지 않고 주머니에서 열쇠를 꺼내어 즉시 문을 열고 들어갔다.
테나르디안에서는 꽤 정돈된 모습으로 뒤로 물러섰다.	테나르디에는 꽤나 정돈된 모습으로 후퇴했다.
그들이 그를 설득하는데는 그리 오랜 시간이 걸리지 않았다.	그들이 그를 설득하는 데는 오랜 시간이 걸렸다.
그의 머리카락은 잭이 세운 집의 뿔들에 의해서 다듬어진것이였다면 더는 견딜수 없었을것이다.	그의 머리카락은 잭이 지은 집의 찌그러진 뿔을 가진 소에 의해 그 순간 다듬어졌다면 더 격렬하게 곤두섰을 수 없었을 것이다.
그의 발은 맨발이였다.	그의 발은 맨발이었다.
그의 안해는 그의 뒤에 서서 파란 앞치마를 두르고 눈물을 흘리고있었다.	그의 아내는 그의 뒤에 서서 파란 앞치마로 눈물을 닦고 있었다.
하늘은 침침하게 빛났고 공기는 정체되여 습기차고있었지만 이러한 갖가지 변화에도 불구하고 나의 상상은 여전히 살아있었고 나의 마음은 해빛속에서 따뜻하게 느껴졌다.	하늘도 단조롭게 회색이었고, 공기는 정체되어 습기 차 있었지만, 이러한 모든 무기력한 영향 속에서도 내 상상력은 새롭게 피어나고 내 마음은 햇빛 속에서 따뜻함을 느꼈다.
죽었다!	죽었다!
그것은 녀자의 초상화였다.	그것은 여성의 초상화이다.
잠시동안 군중은 가만히 서있었으나 곧 다시 일어서서 발을 옮겼다.	잠시 동안 군중은 가만히 서 있었지만, 곧 다시 앞으로 돌진했다.
그래, 나를 슬프게 생각하여라.	그래, 나를 다시 슬프게 바라보아라.
불에 대한 이야기도 많았다.	불에 대한 이야기가 많다.
군중은 앞뒤로 흔들거리며 닫긴 안뜰의 문에 등을 대고 그가 앞으로 나아가는것을 막았다.	군중은 앞뒤로 흔들리며 닫힌 안뜰의 문에 밀착하여 교수님이 더 나아가는 것을 막았다.
어느 학식있는 승려가 자기의 지인들을 라틴어를 잘 아는 귀족들과 기사들과는 다른 고귀하고 고상한 사람들로 보는것은 아주 드문 일이다.	한 학식 있는 지방 성직자는 자신의 지인들을 라틴어를 조금 아는 귀족, 기사 및 다른 고귀하고 가치 있는 사람들로 생각하는 데 익숙하다.
주머니안에 손수건이라도 있다면!	주머니에 손수건 하나 가득한 것이라도 말이죠!
너는 인간 본성의 가장 큰 비밀을 알고있었기때문에 모든 사람이 너에게 무릎을 꿇게 할수 있는 유일한 확실한 기발인 지상의 빵과 자유와 하늘의 빵을 위해서 그것을 버리기로 작정하였다.	너는 이 인간 본성의 근본적인 비밀을 알고 있었고, 알 수밖에 없었지만, 모든 사람들이 오직 너에게만 무릎 꿇게 할 수 있는 유일한 확실한 깃발인 지상의 빵의 깃발을 거부하였고, 자유와 하늘의 빵을 위해 그것을 거부하였다.
먼저 나를 따라들어온 조는 쓰레기가 우리앞에서 물러간 다음 화해의 기미를 나타내여 코를 문지르더니 부인이 그를 힐끗 쳐다보자 그 녀자의 시선이 돌아간 다음 두개의 검지를 서로 교차하여 나에게 보여주며 조 부인이 몹시 노하고있다는것을 알려주었다.	먼저 나를 따라 주방으로 들어간 조는 쓰레받기가 우리 앞에서 물러난 후, 화해의 기색을 띠고 손등으로 코를 문지르다가 조 부인이 그를 힐끗 쳐다보자, 그녀의 시선이 돌아간 후에는 몰래 두 개의 검지를 교차시키고 나에게 보여주며 조 부인이 화가 나 있다는 신호를 보였다.
한 관리가 뛰여나와 상인에게 몇마디 말하고 목에 십자가를 두른 건장한 관리에게 따라오라고 이르자 다시 사라졌다.	한 관리가 뛰어나와 상인에게 몇 마디를 하고, 목에 십자가를 걸친 건장한 관리에게 따라오라고 부른 뒤 다시 사라졌다.
다음으로는 사탕을 먹는것이였다. 큰 새들이 사탕을 먹지 못한다고 불평하고있을 때 소음과 혼란이 일어났다. 작은 새들은 목이 막혀 등을 두드려주어야 했다.	다음으로는 사탕을 먹는 것이었는데, 큰 새들이 자신의 사탕 맛을 느낄 수 없다고 불평하자 소음과 혼란이 일어났고, 작은 새들은 목이 막혀서 등을 두드려 주어야 했다.
왕의 영토는 산이나 강이나 풍속이나 언어의 변덕에 의하여 제한되여있다.	왕의 영토는 산이나 강, 또는 풍습의 변화나 언어의 변화에 의해 제한된다.
당신은 자신을 버리려고 하지 않고 오히려 자신을 괴롭히려고 하고있소.	당신은 체념하지 않았고, 그저 자신을 멍하게 만들려고 하고 있을 뿐이다.
나는 오늘아침 네가 준 자그마한 빵외에는 아무것도 먹지 않았다.	나는 오늘 아침 네가 준 작은 롤빵 이후로 아무것도 먹지 않았다.
그리고 기쁨보다도 더 큰 두려움과 증오를 품고있다는것을 나는 알고있다.	그리고 무엇보다도 기쁨보다 훨씬 더 많은 두려움과 연민이 있다는 점에서.
당신은 여기에 계셔야 하오.	당신은 여기 와서 자리 잡아야 합니다.
하고 레옹은 말하였다.	레옹이 말했다.
그것은 아무런 관계도 없다.	그것은 아무 의미가 없다.
그러나 사랑하는 형제여, 이 장갑이 더럽혀진 손을 장식하지 않도록 하여라.	하지만 조심해라, 사랑하는 형제여, 이 장갑이 더럽혀진 손을 장식하지 않도록.
아주 미세한 미소며 아주 침착한 인사말이 백작부인의 귀에 들어가자 그 녀자는 심각한 표정을 짓는것이였다.	그녀의 아주 미세한 미소와 조용한 인사에서 백작부인이 말해졌고, 그레이엄은 심각한 표정을 지을 수밖에 없었으며,
저기 보이니?	저기 그가 있어, 그가 보이니?
매일같이 두주일동안이나 그들을 찾아오군하던 존 미들톤경은 자기 집 사람들이 언제나 바쁘게 지내는것을 보자 놀라움을 금할수 없었다.	매일 처음 2주 동안 그들을 방문했던 존 미들턴 경은 집에서 많은 일을 하지 않는 습관이 있었지만, 그들이 항상 바쁘게 지내고 있는 것을 발견하고는 놀라움을 감추지 못했다.
나는 이 말의 음절이 어느 정도 혐오의감을 자아냈다.	그 단어의 음절이 제대로 반복되는 것만으로도 그 혐오스러움을 충분히 드러낼 수 있다고 느꼈다.
그러나 일단 마음을 굳게 먹은 쥴리앙은 주저함도 아랑곳하지 않고 계속 몇마디 외우더니 말하였다.	그러나 일단 마음을 정하자 그는 자신의 날카로운 목소리로 주저함이나 망설임 없이 계속해서 여기저기 단어를 강조하며 말했다.
그의 안해는 불곁에 앉아 얼굴을 땅에 대고 울고있었고 그의 장남은 바닥에 쪼그리고 앉아 많은 종이 더미를 뒤져가며 불에 살라버리고있었는데 그 사이에 빨간 얼굴을 한 하녀가 겁에 질린 얼굴로 방을 왔다갔다하고있었다. 때마침 마당에서 남자중 한사람이 나타나서 큰소리로 웨쳤다.	그의 아내는 불 옆에 앉아 얼굴을 손에 묻고 울고 있었고, 그의 장남은 바닥에 쪼그리고 앉아 많은 종이 더미를 뒤적이며 가끔씩 하나를 태워 끝까지 불태우고 있었으며, 그 사이에 빨간 얼굴을 한 하녀가 두려움에 눈이 멀어 방을 뒤지고 울먹이며 돌아다니고 있었고, 가끔씩 마당에서 남자 중 한 명이 얼굴을 내밀며 명령을 외치곤 했다.
넬리, 이제 보니 당신은 나를 리기적인 불쌍한 인간으로 생각하시는 모양이군요.	넬리, 이제 보니 당신이 나를 이기적인 불쌍한 사람이라고 생각하는군요.
그 악당 그루셴카는 남자에게 눈이 갔다.	그 악당 그루셴카는 남자에게 눈이 있다.
그는 주먹으로 그물을 치고 유리를 지나 팔까지 가는것을 볼수 있을만했다.	그는 주먹에 의해 만들어진 구멍을 통해 그물과 유리를 지나 팔이 지나가는 것을 볼 수 있을 만큼 제때 도착했다.
그러나 불행에 빠졌을 때에는 그 처참한 처지를 머리속에서 지워버리려고 하지 않았고 그 처지가 너무나도 비인간적이고 비인간적인것이라고는 생각조차 하지 않았다.	하지만 이제 불행이 그에게 닥쳤을 때, 그는 그 상황을 끝내는 것을 생각하기는커녕, 그 상황이 너무 끔찍하고 비자연적이어서 아예 인식조차 하지 않으려 했다.
이 점에 대해서는 사제와 철학자가 의견을 같이했다.	이 점에 대해서는 신부와 철학자가 의견을 같이한다.
그는 어느 나라 출신이신가요?	그는 어느 나라 출신인가요?
나는 그를 보고싶었다.	나는 그를 보고 싶다.
그 정직한 상인의 시선에는 아무런 신뢰도 찾아볼수 없었고 다리가 쉰개나 되는듯한 그의 손톱을 의심할바 없는 집중력으로 바라보고있었다.	그 정직한 상인의 시선을 받는 태도는 신뢰감을 주지 않았고, 그는 마치 그 다리가 쉰 개나 되는 것처럼 자주 다리를 바꾸었으며, 손톱을 매우 의심스러운 집중력으로 살펴보았다.
그리고는 작별인사를 하였다.	그리고 작별 인사를 한다.
이 결투는 도대체 무엇때문일가?	자, 이 결투는 도대체 무엇에 관한 것이었나?
방해하지 마세요. 하고 알렉산드르 다비디트, 폰 코렌은 쌀쌀하게 말하였다.	방해하지 마세요, 알렉산드르 다비디치, 폰 코렌이 차갑게 말했다.
아시다싶이 저는 프랑스 조각가들을 그다지 좋게 생각하지 않습니다.	왜냐하면 아시다시피 저는 우리 프랑스 조각가들에 대해 그다지 좋게 생각하지 않기 때문입니다.
나는 지금 그를 보았다.	나는 지금 그녀를 본다.
선생을 공경하여 로대와 유리잔은 즉시로 나누어가지지 않고 그대로 놓여있었다.	교수님의 존재를 존중하여 롤과 유리잔은 즉시 나누어지지 않고 그대로 놓여졌다.
그래요, 당신의 모든 친절에 대해서 고마와요. 나는 대답하였다.	그것과 당신의 모든 친절에 대해 고마워요, 삼촌, 내가 대답했다.
물론 그렇소.	물론 당신도 맞습니다.
그는 벌떡 일어서서 잠시 주저하더니 다시금 머리를 들었다.	그는 일어섰고, 잠시 망설인 후 귀 기울였다.
한가지 생각이 그의 마음을 괴롭히고 산만하게 하는것 같았다.	한 가지 생각이 끊임없이 그의 마음을 괴롭히고 산만하게 만드는 것 같았다.
눈물이 핑 돌면서.	눈물이 쏟아지면서.
카톤씨, 당신은 술을 마신것 같군요.	카튼 씨, 당신은 술을 마신 것 같아요.
나는 더는 아무것도 생각지 않았다.	나는 더 이상 아무것도 생각하지 않았다.
며칠전에 탄트립이 내 머리를 빗어주었을 때 마틸드는 제임스경의 하인이 캐드월라더부인의 하인에게서 장녀 브룩양과 결혼한다는 말을 들었다고 말하였다.	며칠 전 탄트립이 내 머리를 빗어줄 때, 그녀는 제임스 경의 하인이 캐드월라더 부인의 하인에게서 제임스 경이 장녀 브룩 양과 결혼할 것이라는 소식을 들었다고 말했다.
개는 여전히 침대에서 꼼짝 않고 꼼짝않고있었다.	개가 침대 아래로 물러나며 여전히 화가 나서 으르렁거리고 있었다.
그리고나서 두사람은 의논하였다.	그런 다음 두 남자가 함께 상의했다.
주지사가 물었다.	주지사가 물었다.
자그마한 가게들이 몇개 보였는데 그중의 유일한 품목은 아이들로밖에는 보이지 않았다. 그 시간에도 아이들은 문밖으로 나와서 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고래고래 고	작은 가게가 꽤 많이 있었지만, 그곳의 유일한 상점 품목은 아이들로 보였고, 그 시간에도 아이들은 문 안팎으로 기어 다니거나 안에서 소리를 지르고 있었다.
나는 자기 방의 은신처나 정원이라는 쓸쓸한 구석을 찾아 거기서 나의 감정에 맡기고 작별의 인사를 나누며 헛된 희망과 헛된 환상이 도를 넘는것을 슬퍼하고싶었다.	나는 내 방의 은둔처나 정원의 외딴 구석을 찾고 싶었고, 그곳에서 내 감정에 맡기고 마지막 작별 인사를 하며 잘못된 희망과 헛된 환상에 대해 슬퍼하고 싶었다.
그 편지가 온 리유는 다음과 같다.	그것이 보내진 이유였다.
그는 거기서 한두시간을 보내는것을 좋아했다. 흙을 다듬고 괭이질을 하면서 여기저기에 구멍을 내서 씨앗을 떨어뜨렸다.	그는 그곳에서 한두 시간을 보내는 것을 좋아했으며, 흙을 다듬고, 괭이질을 하며, 여기저기에 구멍을 내어 씨앗을 떨어뜨렸다.
지금은 회개할 때가 아니다.	지금 회개할 시간은 없다.
페튜코비치는 대답도 하지 않고 그저 연단에 올라서서 불쾌한듯한 목소리로 몇마디 입밖에 내지를 않았다.	페튜코비치가 대답조차 하지 않았고, 그저 연단에 올라가 손을 가슴에 얹고, 불쾌한 목소리로 위엄 있는 몇 마디를 내뱉었다.
과거를 돌이켜보라. 그 추억이 너를 기쁘게 해줄것이다.	과거를 생각하라, 그 기억이 너에게 기쁨을 주기 때문이다.
자, 기운을 돋구어라, 내 아들아, 너는 일이 끝나기전에 할수 있을게다.	자, 이제 활기차게, 내 아들; 너는 일이 끝나기 전에 그것이 필요할 거야.
입을 다물어라 라끼틴, 내가 지금 말하고있는것은 너에게 할 말이 아니다.	이제 입을 다물어라, 라키틴, 내가 지금 하려는 말은 너에게 할 말이 아니다.
좋은 모과가 있는동안 한잔 더 하자고 하자.	좋은 모과가 열려 있는 동안 한 잔 하자고.
아, 세상에!	오, 세상에!
눈송이가 떨어지는것을 보면 하늘에 나비가 창궐한것 같더라.	눈송이가 떨어지는 것을 보면 하늘에 흰 나비가 창궐한 것 같다고.
메리의 볼은 붉어졌고 그 녀자는 말을 하지 않았다.	메리의 뺨은 조금 붉어지기 시작했고, 그녀는 말을 하지 않았다.
나를 모든 인내에서 빼내여서는 안된다.	나를 모든 인내에서 벗어나게 하지 마.
샤르가는 그것은 나의 형인 샌디와 같은것이였으나 나는 모르겠다고 말하였다.	그건 내 형인 샌디 경과 비슷한 것이었지만, 나는 잘 모르겠다고 샤르가가 말했다.
그는 말을 이고나서 방으로 돌아왔다.	그는 이야기 시작 직후 방으로 돌아왔다.
그 녀자는 제단우에 있는 꽃병우에 솟아오른 큰 초대와 작은 기둥이 있는 성체 안치소를 회상했다.	그녀는 제단 위 꽃으로 가득 찬 꽃병 위로 솟아오른 큰 촛대와 작은 기둥이 있는 성체 안치소를 기억했다.
그는 돌아섰다. 그것은 닫혀있던 열린 손이며 코트의자락은 움츠러들었던것이다.	그는 돌아섰고, 그것은 닫혔던 열린 손이었으며, 그의 코트 자락을 움켜잡았다.
우리가 거기까지 오자 나는 길게 물었다. 불쌍한 비탈리스가 죽었다고 선언하기전에는 아무 소식도 오지 않으리라고 마음먹었다.	우리가 그곳에 도착했을 때 나는 길게 질문을 받았지만, 불쌍한 비탈리스가 정말로 죽었다고 선언하기 전까지는 어떤 정보도 주지 않겠다고 결심했다.
우리는 그의 머리를 마주 바라보았다.	우리는 그의 머리를 함께 들었다.
그는 나를 제외한 모든 하인들에게 퇴거명령을 내렸다.	그는 나를 제외한 모든 하인들에게 퇴거 통지를 주었다.
이제 나는 이 모든것이 이상하게 느껴질지언정 그것만은 말할수 있다고 생각한다.	이제 이것이 매우 특이하게 느껴질 수도 있지만, 나는 그것을 설명할 수 있다고 생각한다.
그 빌뻬가 나의 친절한 암살자를 꾀여낸것은 교수형을 받고 도망친 강도였다.	M. 드 빌포르가 내 친절한 암살자를 위해 준비하고 있는 것은, 분명히 교수형에서 도망친 어떤 강도이다.
마가렛이 물었다.	마가렛이 물었다.
샬롯이 태여난후로는 이처럼 나를 기쁘게 해줄만한 소식이 없었다.	샬롯이 아이를 낳은 이후로 나를 이렇게 기쁘게 해줄 만한 소식은 듣지 못했다.
점심을 먹어야 해요. 저녁식사를 먹어야 해요.	그리고 점심을 먹을 때 저녁을 드시면 되니까요.
이 가엾은 처녀는 신학도와 함께 간 상트페떼르부르그에 살고있었는데 거기서 그는 완전한 자유를 쟁취하기 위하여 몸부림치고있었던것이다.	그 가엾은 여자는 신학도와 함께 간 상트페테르부르크에 있었고, 그곳에서 완전한 해방의 삶에 몸을 던진 것으로 드러났다.
구역질나는 열병은 처벌없이도 나을수 있는것이였다. 그러나 그 먹이를 놓쳐버리고말았다.	구울 같은 열병은 처벌 없이 감당할 수 있는 것이 아니었고, 그 먹이를 놓치고 말았다.
꽉 조이는 주머니칼이 같은 순간에 튀여나왔다. 가장 큰 칼날이 도저히 견딜수 없는 시연에서 튀여나왔다.	거칠게 손잡이가 달린 주머니 칼이 같은 순간에 꺼내어졌고, 가장 큰 칼날이 저항할 수 없는 시연을 통해 열렸다.
보석과 비단, 분채와 화려함, 우아하고 고상한 품위있는 모습, 남자를 멸시하는 그 얼굴에서 그는 일시적인 흥분에서 깨여나 일시적인 흥분상태에 빠지고말았다.	보석과 비단, 분채와 화려함, 우아하게 거부하는 모습과 남녀 모두의 잘생긴 경멸의 얼굴 속에서 도로 수리공은 자신을 담갔고, 그로 인해 일시적으로 취해버려
내가 살아있고 살고싶어하는것을 비난할 필요는 없다.	나는 살아있고 살고 싶어하는 것에 대해 비난받아야 할 이유가 없다.
하지만 나에 대해서 무슨 말을 할수 있을가?	하지만 나에 대해 무슨 말을 할 수 있을까?
당신은 법에 대한 깊은 지식을 가지고있으며 정직하고 공정하고 결혼과 가정생활을 존중하고있소. 그런데 당신은 평생에 한번도 친절하게 대해준 일이 없습니다. 모든 사람이 당신을 싫어하고있으며 모든 사람과 나쁜 관계를 맺고있기때문에 결혼한지 7년 동안이나 안해와 함께 살았던 기간이 고작 7개월밖에 되지 않습니다.	당신은 법에 대한 철저한 지식을 가지고 있고, 매우 정직하고 공정하며, 결혼과 가정생활을 존중하지만, 그 모든 것이 당신의 평생 동안 한 번의 친절한 행동도 하지 않았고, 모든 사람이 당신을 싫어하며, 모든 사람과 나쁜 관계를 유지하고 있으며, 결혼한 지 7년 동안 아내와 함께 살았던 기간이 겨우 7개월이라는 결과를 초래했습니다.
제발 용서해주세요.	제발, 용서해 주세요.
그들은 곧 그 녀자를 사이에 두고 서로 손을 잡고있었다.	그들은 곧 그녀를 사이에 두고 각자의 손을 잡고 있었다.
바로 그것이 욥이 그를 맡게 된 리유였다.	그것이 바로 욥이 그를 맡게 된 이유이다.
나는 그 비밀을 남보다 잘 알고있다. 하고 마리우스는 말하였다.	나는 그 비밀을 다른 사람들만큼 잘 알고 있어, 마리우스가 말했다.
말티즈 강아지는 셀리아에게 제공되지 않았다. 이것은 도로시아가 처음에 놀랬던 일을 상기시켜주었기때문이였다.	말티즈 강아지는 셀리아에게 제공되지 않았고, 이는 도로시아가 나중에 놀라움으로 생각한 누락이었지만, 그녀는 그에 대해 자신을 탓했다.
하고 그는 낮은 목소리로 중얼거렸다.	의사가 낮은 목소리로 물었다.
그것은 사실이니 믿어라.	그것은 사실이니 믿어라.
나는 그와 함께 가도록 강요당했다.	나는 그와 함께 따라가도록 강요당했다.
그날 내가 다른 제과점에서 네파운드짜리짜리 빵을 사러 간것을 나는 알고있다.	나는 그런 날에 다른 제과점에서 네 파운드짜리를 사러 간 것을 알고 있다.
어떻게 할수 있을가?	어떻게 할 수 있을까?
선장이 말하였다. 우리는 아직 돛을 많이 올려놓지 않았으니 모든 선원들은 돛을 내리라.	아, 선장이 말했다, 우리는 아직 너무 많은 돛을 펼쳤다; 모든 선원들은 주돛을 내리라!
그는 손에 얇은 책을 들고있었는데 히긴스, 내가 듣기로는 너는 그런 멍청이들중의 하나야. 더 많은 봉급을 요구한다고 해서 더 받을수 있다고 생각하는 그런 멍청이들말이야. 그리고 한번 더 올리기만 하면 그대로 유지할수 있다고 하더군.	그는 손에 얇은 책을 들고 있었고, 히긴스, 내가 듣기로는 너는 그런 멍청이들 중 하나라고 하더라, 더 높은 임금을 요구한다고 해서 더 받을 수 있다고 생각하는 그런 멍청이들 말이야; 그래, 그리고 한 번 올리면 계속 유지할 수 있다고도.
나는 지금까지 그런것을 몰랐고 리해할수 없었다. 수많은 인류가 나와 같은 생각을 하고있었다.	글쎄, 나는 지금까지 그것에 대해 아무것도 모르고 이해할 수 없으며, 수많은 인류가 나와 같은 생각이다.
쓸데없는 생각, 쓸데없는 생각, 이런 생각에 잠겨 젊은 시르야	쓴 bitterness와 그런 생각에 빠져 젊은 시르야
불행하게도 이 탐험원정에서 살아남은 사람들가운데는 한사람도 살아남지 못했으나 그나마도 이 불쌍한 인디언에게 증오를 품게 할수 있는 기회를 얻은것만은 기뻤다.	불행히도 이 탐험 원정에 파견된 남자들 중 몇 명만이 그들의 우두머리의 평화로운 정신을 지니고 있었고, 대부분은 불행한 이 불쌍한 인디언에게 그들의 증오를 쏟을 기회를 가지게 되어 기쁜 듯 보였다.
그는 백작부인의 엄한 얼굴을 보았다.	그는 백작부인을 바라보았고, 그녀의 엄격한 얼굴을 보고는 말했다.
당신이 그런 말을 하다니. 하고 쥴리앙은 대뜸 말대꾸를 했다.	"당신이 그런 말을 하다니 어떻게 감히!
아보귄이 조용히 물었다."
그가 대답하면서 다시 지나치려 하였을 때 나는 그 짐승을 다시 잡아챘다. 그 짐승의 거만한 태도에 나는 주인과 마찬가지로 놀랐다.	그가 대답하며 다시 나를 지나치려 했지만, 나는 그 조랑말을 다시 잡아챘고, 그런 무례한 대우에 주인 못지않게 놀란 상태였다.
장교의 손실은 이만저만이 아니였다.	장교의 손실은 상당했다.
깨여진 유리문틈으로 손을 내밀면서 백작은 문을 열었다.	그리고 깨진 유리 사이로 손을 지나치게 하며 백작은 문을 열었다.
그렇다면 그렇게 할수 있을것이다.	만약 그렇다면 그렇게 될 것이다.
그렇다면 이 승려가 마켓뷰리의 문법학교와 같은 학교의 교장이신가요?	그렇다면 이 성직자가 마켓 뷰리의 문법 학교와 같은 학교의 교장인가요?
소녀들은 종종 도서실에서 나와 그를 보러 갔다.	소녀들은 종종 서재에서 몰래 나와 그녀를 보러 갔다.
그리고 그 녀자가 스톱우에 있을 때나 드럼우에 있을 때나 그 녀자가 말대꾸를 하지 않았을 때 나는 그들이 책상 저켠에 앉아있는것을 부러워했다.	그리고 그녀가 스타톱(그에게는 별로 말을 하지 않는)이나 드럼멀(그에게는 더 적게 말하는)에게 가끔 튀어 오를 때마다, 나는 그들이 테이블의 반대편에 있다는 것이 부러웠다.
거기서는 모든것이 죽은 친구를 생각나게 하는 방에 앉아있기에는 너무나도 지루하기 그지없었다.	오직 그곳은 모든 것이 죽은 친구를 떠올리게 하는 방에 앉아 있기에는 너무나도 지루하다.
내가 열한번은 용서하지 않겠다고 단단히 다짐해두었던걸!	왜냐하면, 내가 열한 번째는 용서하지 않겠다고 열 번이나 경고했잖아!
그것이 당신의 의무예요.	그것 또한 당신의 의무입니다.
문이 열리더니 시계가 아홉시를 쳤다. 마차부가 나타났다.	문이 열리자 시계가 아홉 시를 알렸고, 마부가 나타났다.
그는 그것을 집어들었다.	그는 그것을 들어올렸다.
너는 즐거운 시간을 보냈구나. 하고 그 녀자는 말하였다.	너는 즐거운 시간을 보냈구나, 그녀가 말했다.
그것은 또한 어떤 찬장안에 숨겨져있어 엿들을수 있는 고귀한 마음을 가진 남자들이 그 순간에 량심의 가책을 받지 않고 자기들의 수심에 잠겨있다는것을 알고있기때문이다. 그들이 자기들의 수심에 잠겨있다는것을 알고있기때문이다.	그것은 또한 주목할 만한데, 어떤 찬장에 숨겨져서 듣고 엿보는 고귀한 마음을 가진 남자들이 그 순간에 양심의 가책을 전혀 느끼지 않으며, 그들이 자발적으로 빠져든 부끄러운 심연을 고귀한 마음으로 충분히 이해하고 있음에도 불구하고 그렇다.
그 사나이는 정말 마음에 들었다. 아니, 그보다 더 훌륭하고 더 품위있는 사나이였다.	그 남자는 너무 좋았고, 너무 완벽했으며, 너무 인위적이었다.
나는 어제밤에 들은 이야기를 좀더 자세히 알아보려고 일부러 너에게 왔다.	나는 어제 우연히 그 이야기를 들었고, 더 자세히 알아보려고 일부러 너에게 오고 있었다.
그는 반짝이는 눈으로 물었다.	그는 반짝이는 눈으로 물었다.
그 녀자는 아직 젊지는 않았으나 키도 크고 몸집도 크고 눈섭도 붉은 뺨도 가지고있었다.	그녀는 그렇게 젊지 않았고, 대략 서른 살이었지만, 그녀 또한 키가 크고 몸매가 좋았으며, 검은 눈썹과 붉은 뺨을 가지고 있었다.
새벽의 빛속에서 그들은 불이 꺼진채 테오도시아에서 불어오는 시원한 바람소리를 들었다.	그들은 새벽의 빛 속에서 불이 꺼진 상태로 테오도시아에서 오는 증기선을 보았다.
마침내 쥴리앙은 불현듯 이렇게 물었다.	마침내 그는 갑작스러운 질문으로 자신의 불안의 원인을 드러냈다.
마르키스는 사적인 이야기라고 말하였다.	사적인 한 마디라고 마르키스가 말했다.
라끼틴은 별안간 이렇게 중얼거렸다.	그것은 중요하지 않아, 라키틴이 중얼거렸다.
우리는 단숨에 층계를 뛰여올랐고 그는 배에 올라탔다. 우리는 배를 타고 떠났다.	우리는 단 한 순간 계단을 가볍게 밟았고, 그는 배에 올라탔으며, 우리는 다시 출발했다.
그 녀자는 열이 있어.	그녀는 열이 나기 시작했어; 그게 전부야.
내 아이야, 그는 목소리를 낮추어 말하였다. 너는 나를 아프게 해서는 안된다. 너는 나를 젊은 시절로 되돌려보낸다.	아니, 내 아이야, 그가 목소리를 떨며 말했다, 너는 나를 아프게 하지 않아; 오히려 너는 나를 젊은 시절로 되돌려 놓는다.
그러나 앞쪽에는 수소 여섯마리가 조용히 앉아있었고 그들가운데는 커다란 늙은 수소 한마리도 진흙탕속에서 즐겁게 놀고있었다.	그러나 바로 앞쪽에는 약 여섯 마리의 물소 암컷들이 조용히 먹이를 먹고 있는 무리가 있었고, 그들 가운데에는 거대한 늙은 수소가 진흙탕에서 즐거운 시간을 보내고 있었다.
적어도 알료샤에게는 들리는듯한 소리가 났고 날아가는 발소리와 스커트가 스치는 소리도 들렸다.	최소한 알료샤는 소음을 들었고, 날아가는 발소리와 스커트가 스치는 소리를 들었다.
모든것이 순조롭게 될것이다.	모든 것이 저절로 정리될 것이다.
그 녀자는 정말 소녀였다. 나는 그 녀자를 사랑하였으나 그 녀자를 사랑하지 않았다.	그녀는 정말 소녀였고, 나는 그녀가 마음에 들었지만 그녀를 사랑하지는 않았다.
나는 탄트립이 나한테 말을 거는것을 허락하지 않는다고 생각했다.	나는 탄트립이 나에게 이야기하는 것에 전혀 해가 없다고 생각한다.
무서운 죽음의 가스는 마른 죽음의 갈비뼈를 공허에 잠기게 하고 가벼움으로 빛나는 땅우에 떠오르는 풍선처럼 경탄과 웃음을 자아내게 한다.	유독한 가스는 마르고 무시무시한 죽음의 가느다란 갈비뼈를 이중의 공허로 채우며, 마치 가벼움에 의해 빛나는 땅 위로 떠오르는 풍선처럼 경이로움과 웃음을 준다.
하고 몽크스는 소리쳤다. 그의 목소리는 억눌려 더욱 세차게 울려퍼졌다.	몽크스가 외쳤다, 그의 목소리는 억눌려서 더욱 격렬하게 들렸다.
지금 당장이라도 당신을 걱정하게 할수야 없을가요?	지금 당장 당신을 걱정하게 만들까요?
오, 하느님 여호와여! 나날이 이렇게 길다니 얼마나 슬픈 일인가!	"오, 신이시여!
날들이 이렇게 길다니 얼마나 슬픈 일인가!"
갑자기 로자넷은 창백해졌다.	갑자기 로자넷이 매우 창백해졌다.
매기는 마음속에 절망을 안고 돌아섰다.	천천히 매기는 마음속에 절망을 안고 돌아서고 있었다.
게다가 그런것은 나를 놀래우는 일이 없는데도 너희의 화학자 친구들은 언제나 주방을 뒤져다니니 너희의 체질을 더럽힐수밖에 없지 않은가.	게다가, 그건 나를 놀라게 하지 않는데, 너희 화학자 친구들은 항상 주방을 뒤지고 다니니, 결국 너희의 체질을 망치게 될 것이다.
그것은 여러가지 날카로운 소리를 내는것과 련결되여있었다.	이것은 온갖 종류의 날카로운 작은 외침들과 함께했다.
